Associated Gene Name	Human Ensembl Gene ID	Human Chromosome Name	Human Gene Start (bp)	Human Gene End (bp)	Anole Ensembl Gene ID	Anole Chromosome Name	Anole Chromosome Start (bp)	Anole Chromosome End (bp)	Homology Type
RERE	ENSG00000142599	1	8412457	8877702	ENSACAG00000008679	GL343334.1	322863	404811	ortholog_one2one
ENO1	ENSG00000074800	1	8921061	8939308	ENSACAG00000014173	GL343334.1	1787	10608	ortholog_one2one
H6PD	ENSG00000049239	1	9294834	9331396	ENSACAG00000009158	GL343701.1	136559	160851	ortholog_one2one
SPSB1	ENSG00000171621	1	9352939	9429591	ENSACAG00000009167	GL343701.1	166589	187761	ortholog_one2one
SLC25A33	ENSG00000171612	1	9599541	9642831	ENSACAG00000009183	GL343701.1	242141	251340	ortholog_one2one
TMEM201	ENSG00000188807	1	9648932	9674935	ENSACAG00000017949	AAWZ02037612	7712	13108	ortholog_one2one
PIK3CD	ENSG00000171608	1	9711790	9789172	ENSACAG00000013317	LGh	43576	98773	ortholog_one2one
CLSTN1	ENSG00000171603	1	9789084	9884584	ENSACAG00000013206	LGh	105838	154502	ortholog_one2one
CTNNBIP1	ENSG00000178585	1	9908334	9970394	ENSACAG00000013203	LGh	190227	229856	ortholog_one2one
LZIC	ENSG00000162441	1	9982173	10003465	ENSACAG00000013176	GL343709.1	245445	250721	ortholog_one2one
RBP7	ENSG00000162444	1	10057264	10076078	ENSACAG00000013132	GL343709.1	190752	205086	ortholog_one2one
UBE4B	ENSG00000130939	1	10092890	10241297	ENSACAG00000012967	GL343709.1	114086	185124	ortholog_one2one
KIF1B	ENSG00000054523	1	10270863	10441661	ENSACAG00000027496	GL343709.1	17360	102694	ortholog_one2one
PGD	ENSG00000142657	1	10458649	10480201	ENSACAG00000022463	GL343565.1	343338	361981	ortholog_one2one
DFFA	ENSG00000160049	1	10516579	10532583	ENSACAG00000011913	GL343565.1	306774	320403	ortholog_one2one
PEX14	ENSG00000142655	1	10532345	10690815	ENSACAG00000011861	GL343565.1	149796	175907	ortholog_one2one
CASZ1	ENSG00000130940	1	10696661	10856707	ENSACAG00000011787	GL343565.1	13324	100737	ortholog_one2one
SRM	ENSG00000116649	1	11114641	11120081	ENSACAG00000000229	GL343615.1	89104	96146	ortholog_one2one
EXOSC10	ENSG00000171824	1	11126675	11159938	ENSACAG00000002545	AAWZ02038788	2764	10411	ortholog_one2one
MTOR	ENSG00000198793	1	11166592	11322564	ENSACAG00000000242	GL343615.1	133163	276011	ortholog_one2one
ANGPTL7	ENSG00000171819	1	11249398	11256038	ENSACAG00000000578	GL343615.1	184049	203289	ortholog_one2one
UBIAD1	ENSG00000120942	1	11333263	11356106	ENSACAG00000016446	GL343615.1	321677	329382	ortholog_one2one
PTCHD2	ENSG00000204624	1	11539223	11597641	ENSACAG00000016448	GL343881.1	20431	82766	ortholog_one2one
FBXO2	ENSG00000116661	1	11708424	11715842	ENSACAG00000016479	GL343881.1	106570	115996	ortholog_one2one
DRAXIN	ENSG00000162490	1	11751786	11785914	ENSACAG00000008782	AAWZ02038618	9559	9669	ortholog_one2one
CLCN6	ENSG00000011021	1	11866207	11903201	ENSACAG00000008713	GL344836.1	1378	18441	ortholog_one2one
KIAA2013	ENSG00000116685	1	11979648	11986485	ENSACAG00000012185	AAWZ02038117	2163	11118	ortholog_one2one
PLOD1	ENSG00000083444	1	11994262	12035595	ENSACAG00000012193	GL345002.1	1765	10699	ortholog_one2one
MFN2	ENSG00000116688	1	12040238	12073571	ENSACAG00000007952	AAWZ02037267	1464	15044	apparent_ortholog_one2one
DHRS3	ENSG00000162496	1	12627939	12677737	ENSACAG00000015008	GL344449.1	3473	10902	ortholog_one2one
PRDM2	ENSG00000116731	1	14026693	14151574	ENSACAG00000010749	GL343969.1	180762	201594	ortholog_one2one
TMEM51	ENSG00000171729	1	15479028	15546976	ENSACAG00000011572	GL343969.1	48502	49380	ortholog_one2one
FHAD1	ENSG00000142621	1	15573768	15726858	ENSACAG00000011517	GL343969.1	23106	44937	ortholog_one2one
CASP9	ENSG00000132906	1	15817327	15853029	ENSACAG00000015969	AAWZ02040620	216	5509	ortholog_one2one
DDI2	ENSG00000197312	1	15943995	15995539	ENSACAG00000013614	GL343609.1	137359	143660	ortholog_one2one
SLC25A34	ENSG00000162461	1	16062900	16067891	ENSACAG00000013722	GL343609.1	195190	202785	ortholog_one2one
TMEM82	ENSG00000162460	1	16068917	16074477	ENSACAG00000013746	GL343609.1	208402	217422	ortholog_one2one
SPEN	ENSG00000065526	1	16174359	16266955	ENSACAG00000013761	GL343609.1	241896	307634	ortholog_one2one
ZBTB17	ENSG00000116809	1	16268364	16302627	ENSACAG00000013821	GL343609.1	307026	332318	ortholog_one2one
HSPB7	ENSG00000173641	1	16340523	16346089	ENSACAG00000002673	GL343609.1	348103	351257	ortholog_one2one
FAM131C	ENSG00000185519	1	16384264	16400127	ENSACAG00000008519	GL343609.1	378037	386575	ortholog_one2one
EPHA2	ENSG00000142627	1	16450832	16482582	ENSACAG00000006266	GL344107.1	14116	45452	ortholog_one2one
RSG1	ENSG00000132881	1	16558195	16563446	ENSACAG00000000435	GL345040.1	21	4195	ortholog_one2one
FBXO42	ENSG00000037637	1	16573334	16678949	ENSACAG00000000445	AAWZ02039169	232	7274	ortholog_one2one
NECAP2	ENSG00000157191	1	16767167	16786573	ENSACAG00000016517	GL345048.1	208	3690	ortholog_one2one
SDHB	ENSG00000117118	1	17345217	17380665	ENSACAG00000016203	GL344735.1	1385	15034	apparent_ortholog_one2one
PADI2	ENSG00000117115	1	17393256	17445948	ENSACAG00000004650	AAWZ02037362	4	16958	apparent_ortholog_one2one
RCC2	ENSG00000179051	1	17733256	17766220	ENSACAG00000008688	GL344443.1	21	32014	ortholog_one2one
ARHGEF10L	ENSG00000074964	1	17866330	18024369	ENSACAG00000025490	AAWZ02040076	468	6902	apparent_ortholog_one2one
IGSF21	ENSG00000117154	1	18434240	18704977	ENSACAG00000010900	GL344239.1	1549	67214	ortholog_one2one
KLHDC7A	ENSG00000179023	1	18807424	18812478	ENSACAG00000016249	GL344135.1	67748	76866	ortholog_one2one
TAS1R2	ENSG00000179002	1	19166093	19186176	ENSACAG00000008627	AAWZ02036459	14990	22806	ortholog_one2one
EMC1	ENSG00000127463	1	19542158	19578046	ENSACAG00000024425	GL344102.1	39014	73209	ortholog_one2one
CAPZB	ENSG00000077549	1	19665267	19812066	ENSACAG00000007683	GL343959.1	15482	15577	ortholog_one2one
HTR6	ENSG00000158748	1	19991780	20006055	ENSACAG00000008741	GL344078.1	15346	21021	ortholog_one2one
TMCO4	ENSG00000162542	1	20008706	20126438	ENSACAG00000008736	GL344078.1	2271	11353	ortholog_one2one
PLA2G2D	ENSG00000117215	1	20438432	20446050	ENSACAG00000010821	AAWZ02041529	3693	5527	ortholog_one2one
PLA2G2C	ENSG00000187980	1	20487746	20503917	ENSACAG00000003350	GL344013.1	84366	87126	apparent_ortholog_one2one
MUL1	ENSG00000090432	1	20825943	20834654	ENSACAG00000001340	GL343245.1	427907	432750	apparent_ortholog_one2one
CDA	ENSG00000158825	1	20915441	20945401	ENSACAG00000010789	AAWZ02039226	1244	1757	ortholog_one2one
DDOST	ENSG00000244038	1	20978270	20988000	ENSACAG00000017734	GL343609.1	106643	125414	ortholog_one2one
KIF17	ENSG00000117245	1	20990507	21044510	ENSACAG00000003786	GL343414.1	600475	625702	ortholog_one2one
HP1BP3	ENSG00000127483	1	21069154	21113816	ENSACAG00000017748	GL343609.1	69052	87072	ortholog_one2one
EIF4G3	ENSG00000075151	1	21132963	21503377	ENSACAG00000017755	GL343609.1	27358	59904	ortholog_one2one
ECE1	ENSG00000117298	1	21543740	21671997	ENSACAG00000005393	AAWZ02037209	2177	18032	ortholog_one2one
ALPL	ENSG00000162551	1	21835858	21904905	ENSACAG00000005237	GL343938.1	117719	136198	ortholog_one2one
RAP1GAP	ENSG00000076864	1	21922708	21995801	ENSACAG00000001900	GL343938.1	78707	94879	ortholog_one2one
USP48	ENSG00000090686	1	22004791	22110099	ENSACAG00000001143	GL344645.1	3474	24459	ortholog_one2one
HSPG2	ENSG00000142798	1	22148738	22263790	ENSACAG00000002602	AAWZ02037520	1035	15339	ortholog_one2one
CDC42	ENSG00000070831	1	22379120	22419437	ENSACAG00000012480	AAWZ02040513	4686	6853	ortholog_one2one
WNT4	ENSG00000162552	1	22446461	22470462	ENSACAG00000012513	AAWZ02037479	10792	12989	ortholog_one2one
EPHA8	ENSG00000070886	1	22890057	22930087	ENSACAG00000014526	GL344067.1	41810	75953	ortholog_one2one
C1QA	ENSG00000173372	1	22962999	22966101	ENSACAG00000014939	AAWZ02038779	5880	6777	ortholog_one2one
LACTBL1	ENSG00000215906	1	23279536	23291831	ENSACAG00000008419	GL344083.1	55384	62997	ortholog_one2one
KDM1A	ENSG00000004487	1	23345941	23410182	ENSACAG00000016954	GL343276.1	1807242	1825083	ortholog_one2one
LUZP1	ENSG00000169641	1	23410516	23504301	ENSACAG00000016989	GL343276.1	1834641	1840401	ortholog_one2one
HTR1D	ENSG00000179546	1	23516993	23521222	ENSACAG00000000499	AAWZ02038557	5595	6725	ortholog_one2one
HNRNPR	ENSG00000125944	1	23630264	23670829	ENSACAG00000017593	GL343743.1	182374	204980	ortholog_one2one
ZNF436	ENSG00000125945	1	23685941	23695935	ENSACAG00000024956	GL343907.1	52128	71304	apparent_ortholog_one2one
TCEA3	ENSG00000204219	1	23707554	23751233	ENSACAG00000005034	GL343904.1	59829	71600	ortholog_one2one
ASAP3	ENSG00000088280	1	23755056	23810685	ENSACAG00000004855	GL343904.1	3647	37167	ortholog_one2one
E2F2	ENSG00000007968	1	23832922	23857712	ENSACAG00000013716	GL344429.1	27276	34193	ortholog_one2one
RPL11	ENSG00000142676	1	24018269	24022915	ENSACAG00000005058	GL343498.1	174750	177550	apparent_ortholog_one2one
PITHD1	ENSG00000057757	1	24104895	24114722	ENSACAG00000005152	GL343498.1	137709	141509	ortholog_one2one
LYPLA2	ENSG00000011009	1	24117460	24122029	ENSACAG00000005161	GL343498.1	118186	135875	ortholog_one2one
GALE	ENSG00000117308	1	24122089	24127271	ENSACAG00000005183	GL343498.1	108728	112169	ortholog_one2one
HMGCL	ENSG00000117305	1	24128375	24165110	ENSACAG00000005231	GL343498.1	82923	90129	ortholog_one2one
FUCA1	ENSG00000179163	1	24171567	24194784	ENSACAG00000005280	GL343498.1	71245	77866	ortholog_one2one
CNR2	ENSG00000188822	1	24197016	24285549	ENSACAG00000005323	GL343498.1	67367	68305	ortholog_one2one
MYOM3	ENSG00000142661	1	24382525	24438665	ENSACAG00000005357	GL343498.1	2089	34425	ortholog_one2one
IL22RA1	ENSG00000142677	1	24446261	24469611	ENSACAG00000005646	GL344299.1	23704	42134	ortholog_one2one
GRHL3	ENSG00000158055	1	24645812	24690972	ENSACAG00000017262	GL344192.1	66	37997	ortholog_one2one
STPG1	ENSG00000001460	1	24683489	24743424	ENSACAG00000017255	GL344192.1	54323	60579	ortholog_one2one
RCAN3	ENSG00000117602	1	24829387	24863506	ENSACAG00000017846	GL343464.1	180853	185818	ortholog_one2one
NCMAP	ENSG00000184454	1	24882602	24935819	ENSACAG00000017847	GL343464.1	165908	167869	ortholog_one2one
SRRM1	ENSG00000133226	1	24958207	24999758	ENSACAG00000017848	GL343464.1	142174	162265	ortholog_one2one
CLIC4	ENSG00000169504	1	25071848	25170815	ENSACAG00000017852	GL343464.1	102266	114237	ortholog_one2one
RUNX3	ENSG00000020633	1	25226002	25291612	ENSACAG00000017855	GL343464.1	6005	52673	ortholog_one2one
TMEM50A	ENSG00000183726	1	25664408	25688852	ENSACAG00000013690	GL343703.1	112797	115657	ortholog_one2one
TMEM57	ENSG00000204178	1	25757388	25826700	ENSACAG00000013738	GL343703.1	138378	173467	ortholog_one2one
LDLRAP1	ENSG00000157978	1	25870071	25895377	ENSACAG00000013849	GL343703.1	243755	257810	ortholog_one2one
MAN1C1	ENSG00000117643	1	25943959	26112698	ENSACAG00000017826	GL343480.1	38069	103476	ortholog_one2one
MTFR1L	ENSG00000117640	1	26145131	26159432	ENSACAG00000017821	GL343480.1	135920	147423	ortholog_one2one
PAQR7	ENSG00000182749	1	26187701	26197744	ENSACAG00000017818	GL343480.1	158868	159932	ortholog_one2one
STMN1	ENSG00000117632	1	26210672	26233482	ENSACAG00000017813	GL343480.1	173848	182125	apparent_ortholog_one2one
PAFAH2	ENSG00000158006	1	26286258	26324648	ENSACAG00000017809	GL343480.1	199586	208031	ortholog_one2one
EXTL1	ENSG00000158008	1	26346375	26362955	ENSACAG00000017804	GL343480.1	220624	272565	ortholog_one2one
SLC30A2	ENSG00000158014	1	26363743	26372624	ENSACAG00000017801	GL343480.1	275073	292818	ortholog_one2one
TRIM63	ENSG00000158022	1	26377795	26394927	ENSACAG00000017791	GL343480.1	295141	313859	ortholog_one2one
PDIK1L	ENSG00000175087	1	26437664	26452034	ENSACAG00000017790	GL343480.1	330907	338625	ortholog_one2one
FAM110D	ENSG00000197245	1	26485511	26489119	ENSACAG00000017788	GL343480.1	353083	353985	ortholog_one2one
ZNF593	ENSG00000142684	1	26496362	26498551	ENSACAG00000017787	GL343480.1	369411	374084	ortholog_one2one
CNKSR1	ENSG00000142675	1	26503894	26516377	ENSACAG00000017781	GL343480.1	390850	426185	ortholog_one2one
CATSPER4	ENSG00000188782	1	26517052	26529459	ENSACAG00000004734	GL344429.1	8571	21707	ortholog_one2one
CEP85	ENSG00000130695	1	26560691	26605299	ENSACAG00000017774	GL343480.1	428473	442606	ortholog_one2one
SH3BGRL3	ENSG00000142669	1	26605667	26608007	ENSACAG00000017773	GL343480.1	448001	453698	ortholog_one2one
UBXN11	ENSG00000158062	1	26607819	26644854	ENSACAG00000017771	GL343480.1	457674	467832	ortholog_one2one
AIM1L	ENSG00000176092	1	26648350	26680621	ENSACAG00000017767	GL343480.1	486960	512682	ortholog_one2one
LIN28A	ENSG00000131914	1	26737269	26756213	ENSACAG00000017764	GL343480.1	565903	571184	ortholog_one2one
DHDDS	ENSG00000117682	1	26758773	26797785	ENSACAG00000009953	GL343480.1	629321	637004	ortholog_one2one
RPS6KA1	ENSG00000117676	1	26856252	26901521	ENSACAG00000016599	GL343488.1	23	16731	ortholog_one2one
ARID1A	ENSG00000117713	1	27022524	27108595	ENSACAG00000016601	GL343488.1	48289	103487	ortholog_one2one
PIGV	ENSG00000060642	1	27113963	27124889	ENSACAG00000016638	GL343488.1	112562	118405	ortholog_one2one
ZDHHC18	ENSG00000204160	1	27153201	27184093	ENSACAG00000016644	GL343488.1	122613	140421	ortholog_one2one
SFN	ENSG00000175793	1	27189633	27190947	ENSACAG00000016687	GL343488.1	150471	151211	ortholog_one2one
GPN2	ENSG00000142751	1	27205773	27216788	ENSACAG00000016692	GL343488.1	166229	170165	ortholog_one2one
GPATCH3	ENSG00000198746	1	27216979	27226957	ENSACAG00000016709	GL343488.1	172994	181204	ortholog_one2one
NUDC	ENSG00000090273	1	27226729	27273353	ENSACAG00000016726	GL343488.1	186128	200680	ortholog_one2one
NR0B2	ENSG00000131910	1	27237980	27240457	ENSACAG00000017366	1	199212287	199216609	apparent_ortholog_one2one
C1orf172	ENSG00000175707	1	27276053	27286897	ENSACAG00000016745	GL343488.1	208809	219394	ortholog_one2one
FAM46B	ENSG00000158246	1	27331511	27339327	ENSACAG00000016761	GL343488.1	336807	355254	ortholog_one2one
SLC9A1	ENSG00000090020	1	27425306	27493472	ENSACAG00000016767	GL343488.1	413941	441419	ortholog_one2one
WDTC1	ENSG00000142784	1	27561007	27635110	ENSACAG00000003344	GL343488.1	499154	523793	ortholog_one2one
TMEM222	ENSG00000186501	1	27648651	27662891	ENSACAG00000017844	GL343464.1	208488	215084	ortholog_one2one
SYTL1	ENSG00000142765	1	27668513	27680421	ENSACAG00000017840	GL343464.1	249216	257611	ortholog_one2one
MAP3K6	ENSG00000142733	1	27681675	27693383	ENSACAG00000017835	GL343464.1	254789	329955	ortholog_one2one
GPR3	ENSG00000181773	1	27719148	27722318	ENSACAG00000017833	GL343464.1	366359	367249	ortholog_one2one
WASF2	ENSG00000158195	1	27730730	27816669	ENSACAG00000017831	GL343464.1	378447	393469	ortholog_one2one
AHDC1	ENSG00000126705	1	27860546	27930942	ENSACAG00000017829	GL343464.1	439490	443980	ortholog_one2one
STX12	ENSG00000117758	1	28099694	28150963	ENSACAG00000017674	GL343743.1	16295	21765	ortholog_one2one
PPP1R8	ENSG00000117751	1	28157289	28178187	ENSACAG00000017667	GL343743.1	27275	36062	ortholog_one2one
THEMIS2	ENSG00000130775	1	28199055	28213196	ENSACAG00000017664	GL343743.1	40787	50983	ortholog_one2one
SMPDL3B	ENSG00000130768	1	28261504	28285668	ENSACAG00000017645	GL343743.1	63482	70782	ortholog_one2one
XKR8	ENSG00000158156	1	28285973	28294607	ENSACAG00000017644	GL343743.1	79684	83975	ortholog_one2one
EYA3	ENSG00000158161	1	28296855	28415207	ENSACAG00000017635	GL343743.1	85865	111075	ortholog_one2one
PTAFR	ENSG00000169403	1	28473677	28520447	ENSACAG00000017632	GL343743.1	136566	137636	ortholog_one2one
DNAJC8	ENSG00000126698	1	28527068	28559536	ENSACAG00000017628	GL343743.1	161823	172544	ortholog_one2one
ATPIF1	ENSG00000130770	1	28562620	28573417	ENSACAG00000017623	GL343743.1	175914	181386	ortholog_one2one
SESN2	ENSG00000130766	1	28586038	28609002	ENSACAG00000010993	GL344007.1	2097	42528	ortholog_one2one
RCC1	ENSG00000180198	1	28832455	28865812	ENSACAG00000005128	GL343904.1	128858	138750	ortholog_one2one
TRNAU1AP	ENSG00000180098	1	28879597	28905051	ENSACAG00000003995	GL344047.1	103835	110360	apparent_ortholog_one2one
TAF12	ENSG00000120656	1	28915835	28969597	ENSACAG00000010959	GL344007.1	58141	66403	ortholog_one2one
GMEB1	ENSG00000162419	1	28995244	29045865	ENSACAG00000010878	GL344007.1	72318	80429	ortholog_one2one
YTHDF2	ENSG00000198492	1	29063133	29096287	ENSACAG00000010846	GL344007.1	85722	96786	ortholog_one2one
OPRD1	ENSG00000116329	1	29138654	29190208	ENSACAG00000005100	GL343904.1	101550	119830	ortholog_one2one
EPB41	ENSG00000159023	1	29213603	29446553	ENSACAG00000003888	GL344047.1	15865	43347	ortholog_one2one
TMEM200B	ENSG00000253304	1	29445940	29450447	ENSACAG00000003887	GL344047.1	5599	6816	ortholog_one2one
MECR	ENSG00000116353	1	29519385	29557454	ENSACAG00000001529	GL343563.1	6059	13383	ortholog_one2one
PTPRU	ENSG00000060656	1	29563028	29653325	ENSACAG00000001027	GL343563.1	28599	64301	ortholog_one2one
MATN1	ENSG00000162510	1	31184124	31196434	ENSACAG00000000957	GL343563.1	65963	75014	ortholog_one2one
SDC3	ENSG00000162512	1	31342314	31381608	ENSACAG00000000940	GL343563.1	93505	116287	ortholog_one2one
PUM1	ENSG00000134644	1	31404353	31538838	ENSACAG00000000682	GL343563.1	121122	150712	ortholog_one2one
SNRNP40	ENSG00000060688	1	31732417	31769662	ENSACAG00000000469	GL343563.1	155788	163122	ortholog_one2one
ZCCHC17	ENSG00000121766	1	31769842	31837783	ENSACAG00000000389	GL343563.1	162086	167048	ortholog_one2one
SERINC2	ENSG00000168528	1	31882412	31907525	ENSACAG00000000268	GL343563.1	188923	196743	ortholog_one2one
TINAGL1	ENSG00000142910	1	32042116	32053288	ENSACAG00000012412	GL343308.1	378039	421083	ortholog_one2one
PEF1	ENSG00000162517	1	32095463	32110497	ENSACAG00000012399	GL343308.1	437192	445089	ortholog_one2one
